polygon_id,class,pixel_count
146904,8,21
146904,9,214
146904,10,26
146904,11,44
146904,12,41
146904,53,2
146904,83,4
146904,211,4
146904,212,8
43490,7,207
43490,8,127
43490,9,369
109593,3,21
109593,5,3
109593,7,266
109593,8,57
109593,9,279
109593,11,2
109593,12,85
147610,3,430
147610,5,16
147610,9,140
147610,12,121
40290,5,25
40290,7,198
40290,8,95
40290,9,381
40290,12,2
40290,53,1
40290,83,2
40290,93,5
40290,212,1
118572,7,228
118572,8,68
118572,9,410
118572,212,2
147643,3,262
147643,5,174
147643,7,18
147643,9,83
147643,10,12
147643,11,24
147643,12,132
69034,3,15
69034,5,4
69034,7,307
69034,8,41
69034,9,228
69034,11,14
69034,12,83
69034,93,4
69034,212,7
109819,7,215
109819,8,122
109819,9,301
109819,11,20
109819,12,37
109819,211,10
109819,212,4
147740,3,384
147740,5,4
147740,7,50
147740,9,89
147740,10,40
147740,12,142
38439,3,23
38439,5,11
38439,7,130
38439,8,77
38439,9,409
38439,10,8
38439,11,12
38439,12,39
110651,5,6
110651,7,189
110651,8,123
110651,9,391
32804,3,31
32804,5,58
32804,7,95
32804,8,169
32804,9,327
32804,11,26
32804,12,1
147752,3,355
147752,5,104
147752,8,1
147752,9,188
147752,12,61
110879,3,22
110879,5,56
110879,7,143
110879,8,122
110879,9,351
110879,11,5
110879,93,2
110879,211,6
32293,3,77
32293,5,143
32293,8,178
32293,9,295
32293,53,11
171439,3,165
171439,5,231
171439,7,27
171439,8,7
171439,9,225
171439,11,36
171439,12,22
111389,7,223
111389,8,147
111389,9,322
111389,12,6
44469,5,12
44469,7,152
44469,8,177
44469,9,355
44469,11,3
44469,83,2
44469,93,4
44469,210,2
148668,3,256
148668,5,156
148668,9,198
148668,12,97
115617,3,9
115617,7,258
115617,8,39
115617,9,330
115617,11,2
115617,12,38
115617,210,7
115617,211,1
115617,212,23
71753,5,22
71753,7,186
71753,8,164
71753,9,332
148710,3,179
148710,5,265
148710,9,221
148710,12,42
115747,7,323
115747,8,107
115747,9,273
43457,3,51
43457,7,245
43457,8,96
43457,9,292
43457,10,15
43457,12,10
148866,3,292
148866,5,70
148866,9,232
148866,11,35
148866,12,76
115771,5,18
115771,7,265
115771,8,106
115771,9,311
41103,3,7
41103,5,47
41103,7,158
41103,8,47
41103,9,382
41103,11,1
41103,12,41
41103,210,1
41103,211,3
41103,212,16
148874,3,273
148874,5,106
148874,9,221
148874,10,3
148874,11,23
148874,12,79
118435,7,247
118435,8,130
118435,9,329
41146,3,32
41146,5,26
41146,7,171
41146,8,35
41146,9,354
41146,11,3
41146,12,73
41146,210,1
41146,211,3
41146,212,11
150137,3,30
150137,5,118
150137,7,129
150137,8,84
150137,9,300
150137,11,6
150137,12,42
118466,7,170
118466,8,173
118466,9,358
68093,3,23
68093,5,45
68093,7,312
68093,8,86
68093,9,175
68093,11,18
68093,12,49
150185,3,245
150185,5,65
150185,7,123
150185,8,38
150185,9,8
150185,12,228
119968,3,15
119968,5,24
119968,7,200
119968,8,84
119968,9,249
119968,11,44
119968,12,45
119968,53,4
119968,83,6
119968,93,4
119968,211,9
119968,212,23
150252,3,55
150252,5,62
150252,7,171
150252,8,128
150252,9,184
150252,11,52
150252,12,55
71743,3,18
71743,5,17
71743,7,213
71743,8,76
71743,9,320
71743,12,63
125085,7,166
125085,8,185
125085,9,351
125085,10,1
71551,3,20
71551,5,5
71551,7,204
71551,8,86
71551,9,319
71551,12,69
151855,3,93
151855,5,15
151855,7,153
151855,8,80
151855,9,151
151855,11,79
151855,12,131
133911,7,266
133911,8,95
133911,9,350
70157,3,27
70157,5,80
70157,8,94
70157,9,461
70157,11,35
70157,12,9
151961,5,15
151961,6,10
151961,8,8
151961,9,333
151961,65,204
151961,67,75
151961,85,44
151961,95,19
126797,5,106
126797,7,96
126797,8,97
126797,9,402
36064,5,39
36064,7,101
36064,8,181
36064,9,336
36064,11,14
36064,12,37
152023,3,64
152023,5,126
152023,7,41
152023,8,53
152023,9,285
152023,10,30
152023,11,14
152023,12,70
152023,53,2
152023,93,10
152023,211,7
152023,212,4
126930,7,311
126930,8,27
126930,9,236
126930,10,1
126930,11,19
126930,12,60
126930,210,7
126930,211,11
126930,212,32
36202,7,284
36202,8,115
36202,9,283
36202,12,17
36202,212,8
154505,3,4
154505,5,233
154505,7,29
154505,8,130
154505,9,298
154505,12,14
129912,3,17
129912,7,256
129912,8,103
129912,9,287
129912,11,5
129912,12,12
129912,73,7
129912,93,7
129912,211,7
129912,212,6
71549,3,23
71549,7,174
71549,8,97
71549,9,308
71549,12,106
155192,3,134
155192,5,19
155192,7,158
155192,8,38
155192,9,115
155192,10,17
155192,11,16
155192,12,208
133653,7,233
133653,8,99
133653,9,375
71652,3,57
71652,5,135
71652,7,93
71652,8,68
71652,9,258
71652,11,46
71652,12,52
155227,3,78
155227,5,140
155227,7,70
155227,8,87
155227,9,308
155227,10,10
155227,11,7
155227,12,10
134451,7,264
134451,8,97
134451,9,346
68730,7,257
68730,8,49
68730,9,404
171531,3,64
