polygon_id,buffer_50m_temp_C
polygon_id,buffer_50m_temp_C
171534,35.1823534965515
24711,36.1157169342041
143758,34.6061488560268
91669,34.378415788923
24730,35.8907269069127
143770,34.6133189201355
90842,34.683398110526
24869,36.112238747733
143815,34.6168071201869
90246,34.7399003165109
25349,35.6630811691284
143829,35.4841041564941
90190,34.7496158054897
25396,35.6320664542062
143934,34.6625077383859
90209,34.8440361022949
25688,35.707407270159
146846,35.006407056536
90120,34.8006534576416
25892,36.3646621704102
143941,34.6606249128069
90128,34.795711517334
27742,36.3014046805246
143975,35.2403729756673
90135,34.7516910008022
27850,36.9202656745911
144896,35.6277062552316
90148,34.7989115033831
27852,36.3435468673706
145308,35.3175721168518
90225,34.8315982818604
27962,36.5931205749512
145465,35.2853731427874
90238,34.7463665008545
82887,34.7867708206177
146674,35.0120604378837
90844,34.7472928365072
171951,34.956360408238
83354,34.8086179097494
99123,34.1868634905134
146758,34.8420312064035
83387,34.7926025390625
101231,34.1907143592834
146786,35.4677783421108
83390,34.7754364013672
103025,34.1392459869385
146789,35.2176513671875
83399,34.7911360604422
107124,37.3580278669085
146889,34.6816716875349
24778,36.0186871119908
107135,37.3580278669085
172078,34.781496320452
24805,35.9200270516532
107222,36.1209302629743
146904,35.3373680114746
69743,34.9648030598958
108392,36.6969909667969
147610,34.606671333313
71693,35.4049997329712
124894,36.9631184169224
147643,34.2341041564941
41200,36.0391251700265
124904,37.478568485805
147740,34.3855863298689
69719,35.7337195078532
109557,35.8542180742536
147752,34.5834132603237
43374,36.6432582310268
109593,36.1985277448382
171439,35.2632773263114
43673,36.6226921081543
118572,37.3180643717448
148668,34.5107890537807
43490,36.6552396501814
109819,35.9224869864328
148710,34.3286508832659
40290,35.8522011893136
110651,36.1794924736023
148866,34.5611281394959
69034,36.8665765126546
110879,36.2753415788923
148874,34.5782710484096
38439,35.1327662467957
111389,35.9557843889509
150137,35.4386739730835
32804,36.0598848130968
115617,37.892219543457
150185,35.4587941850935
32293,35.667471749442
115747,37.6810711451939
44469,37.7891927446638
150252,35.3472388131278
115771,37.8159321376256
71753,35.3512121836344
151855,35.1215286254883
118435,37.9387063980103
151961,35.3983770098005
